mean;sd;hdi_3%;hdi_97%;mcse_mean;mcse_sd;ess_bulk;ess_tail;r_hat
-0.66;0.09;-0.83;-0.49;0.0;0.0;5019.76;5623.56;1.0
0.1;0.1;-0.1;0.29;0.0;0.0;14417.52;6263.22;1.0
0.22;0.1;0.02;0.41;0.0;0.0;15589.05;6349.16;1.0
-0.29;0.1;-0.49;-0.1;0.0;0.0;16141.98;6295.26;1.0
0.31;0.1;0.13;0.52;0.0;0.0;14615.49;6241.23;1.0
-0.24;0.1;-0.43;-0.03;0.0;0.0;15563.78;6155.52;1.0
0.31;0.1;0.12;0.5;0.0;0.0;14467.96;5623.54;1.0
0.16;0.1;-0.03;0.35;0.0;0.0;17223.12;5668.92;1.0
0.22;0.1;0.01;0.4;0.0;0.0;15527.35;6435.01;1.0
-0.39;0.1;-0.56;-0.2;0.0;0.0;12194.56;5908.66;1.0
-0.65;0.1;-0.84;-0.45;0.0;0.0;12150.35;6131.58;1.0
0.25;0.08;0.1;0.4;0.0;0.0;12673.97;6307.54;1.0
-0.14;0.05;-0.24;-0.04;0.0;0.0;8654.62;5786.56;1.0
0.22;0.13;-0.03;0.46;0.0;0.0;18205.36;5678.71;1.0
0.0;0.12;-0.23;0.23;0.0;0.0;17295.31;6126.85;1.0
0.08;0.07;-0.06;0.22;0.0;0.0;19445.85;5837.09;1.0
-0.02;0.04;-0.09;0.05;0.0;0.0;6746.3;6488.77;1.0
0.05;0.12;-0.18;0.28;0.0;0.0;20305.38;5855.78;1.0
-0.09;0.07;-0.21;0.04;0.0;0.0;16598.43;5867.63;1.0
0.04;0.04;-0.03;0.11;0.0;0.0;14920.95;7064.7;1.0
-0.06;0.12;-0.28;0.17;0.0;0.0;17981.56;5644.3;1.0
-0.12;0.11;-0.33;0.08;0.0;0.0;18779.82;5365.03;1.0
0.01;0.04;-0.06;0.07;0.0;0.0;6592.24;6607.37;1.0
0.07;0.08;-0.08;0.2;0.0;0.0;21065.71;5549.1;1.0
0.1;0.07;-0.03;0.23;0.0;0.0;18531.31;5964.57;1.0
-0.02;0.13;-0.26;0.21;0.0;0.0;20598.82;5755.73;1.0
-0.09;0.09;-0.26;0.08;0.0;0.0;17852.01;5638.75;1.0
0.01;0.04;-0.06;0.09;0.0;0.0;16974.37;6653.35;1.0
-0.46;0.07;-0.59;-0.33;0.0;0.0;13294.7;6032.22;1.0
0.07;0.12;-0.15;0.3;0.0;0.0;21304.33;5813.56;1.0
-0.05;0.05;-0.14;0.04;0.0;0.0;10387.17;6827.68;1.0
0.08;0.08;-0.07;0.22;0.0;0.0;18936.74;5876.29;1.0
0.21;0.1;0.03;0.39;0.0;0.0;16796.76;5531.2;1.0
0.2;0.06;0.1;0.31;0.0;0.0;16861.36;5582.12;1.0
-0.1;0.09;-0.27;0.07;0.0;0.0;19732.62;5974.51;1.0
0.08;0.04;0.0;0.15;0.0;0.0;15377.11;6072.46;1.0
-0.02;0.12;-0.25;0.21;0.0;0.0;18935.57;5902.71;1.0
0.2;0.09;0.02;0.38;0.0;0.0;13787.39;6292.63;1.0
-0.2;0.07;-0.33;-0.06;0.0;0.0;19219.22;6167.56;1.0
-0.09;0.09;-0.26;0.08;0.0;0.0;17447.62;6021.51;1.0
0.14;0.06;0.02;0.27;0.0;0.0;17585.13;6122.4;1.0
0.05;0.12;-0.19;0.27;0.0;0.0;20753.26;5969.87;1.0
0.02;0.12;-0.2;0.24;0.0;0.0;17737.98;6002.26;1.0
0.0;0.05;-0.08;0.09;0.0;0.0;7160.87;6971.85;1.0
0.03;0.1;-0.15;0.21;0.0;0.0;20409.01;6173.77;1.0
-0.19;0.05;-0.29;-0.1;0.0;0.0;9642.4;7066.96;1.0
0.18;0.09;0.0;0.35;0.0;0.0;5977.79;6124.15;1.0
0.12;0.08;-0.04;0.27;0.0;0.0;5595.23;6867.33;1.0
0.07;0.08;-0.06;0.22;0.0;0.0;6509.0;6087.85;1.0
0.1;0.08;-0.04;0.26;0.0;0.0;7439.51;6496.26;1.0
-0.05;0.08;-0.19;0.1;0.0;0.0;7801.66;6940.49;1.0
0.0;0.08;-0.14;0.15;0.0;0.0;8509.15;7090.28;1.0
-0.07;0.08;-0.22;0.07;0.0;0.0;8222.49;6159.36;1.0
-0.1;0.08;-0.25;0.05;0.0;0.0;8487.63;6760.32;1.0
-0.09;0.08;-0.24;0.05;0.0;0.0;7627.37;6554.43;1.0
-0.05;0.08;-0.2;0.1;0.0;0.0;8904.9;6889.33;1.0
-0.08;0.08;-0.23;0.07;0.0;0.0;9447.7;6705.57;1.0
-0.09;0.08;-0.24;0.06;0.0;0.0;9119.66;7017.22;1.0
0.02;0.08;-0.14;0.17;0.0;0.0;8690.62;6936.91;1.0
-0.07;0.08;-0.21;0.08;0.0;0.0;9072.71;6795.07;1.0
0.06;0.08;-0.09;0.2;0.0;0.0;7916.33;6667.69;1.0
0.06;0.08;-0.1;0.2;0.0;0.0;8562.79;6935.06;1.0
0.03;0.08;-0.11;0.18;0.0;0.0;8014.72;6700.09;1.0
-0.02;0.08;-0.17;0.13;0.0;0.0;7961.04;6730.69;1.0
-0.08;0.08;-0.24;0.08;0.0;0.0;8569.08;6576.82;1.0
0.02;0.09;-0.14;0.18;0.0;0.0;8855.54;6691.59;1.0
-0.0;0.09;-0.16;0.15;0.0;0.0;7929.99;6689.37;1.0
0.04;0.08;-0.11;0.19;0.0;0.0;8123.53;5899.3;1.0
0.04;0.09;-0.12;0.2;0.0;0.0;7950.75;6569.57;1.0
0.02;0.08;-0.14;0.16;0.0;0.0;8197.0;6904.36;1.0
-0.0;0.08;-0.17;0.14;0.0;0.0;8149.4;6268.48;1.0
-0.02;0.08;-0.18;0.13;0.0;0.0;8205.3;6837.71;1.0
-0.02;0.08;-0.18;0.13;0.0;0.0;8429.93;6904.45;1.0
-0.1;0.09;-0.25;0.07;0.0;0.0;8781.36;6561.81;1.0
-0.07;0.08;-0.22;0.08;0.0;0.0;8536.66;6256.11;1.0
-0.0;0.08;-0.15;0.15;0.0;0.0;7964.44;6752.85;1.0
0.01;0.08;-0.15;0.16;0.0;0.0;7509.95;6121.18;1.0
0.06;0.08;-0.09;0.22;0.0;0.0;7993.44;6105.95;1.0
-0.02;0.08;-0.19;0.13;0.0;0.0;8497.45;6325.91;1.0
-0.0;0.1;-0.19;0.17;0.0;0.0;9294.31;6467.35;1.0
-0.05;0.09;-0.21;0.14;0.0;0.0;9716.59;6719.22;1.0
0.0;0.1;-0.17;0.19;0.0;0.0;9828.08;6613.01;1.0
0.02;0.1;-0.17;0.2;0.0;0.0;8874.61;6503.86;1.0
0.05;0.1;-0.14;0.25;0.0;0.0;11328.72;7071.15;1.0
0.07;0.11;-0.16;0.27;0.0;0.0;12672.31;6603.85;1.0
-0.01;0.13;-0.24;0.23;0.0;0.0;16221.92;6898.76;1.0
0.0;0.12;-0.23;0.23;0.0;0.0;13112.91;6567.98;1.0
0.05;0.12;-0.18;0.27;0.0;0.0;14475.81;6058.55;1.0
0.0;0.12;-0.24;0.23;0.0;0.0;14468.8;6517.78;1.0
-0.0;0.12;-0.23;0.22;0.0;0.0;14543.93;6189.93;1.0
-0.03;0.12;-0.26;0.19;0.0;0.0;12780.38;6610.74;1.0
-0.02;0.12;-0.26;0.21;0.0;0.0;15729.15;5995.79;1.0
0.01;0.13;-0.24;0.27;0.0;0.0;18025.99;6090.33;1.0
0.19;0.01;0.16;0.21;0.0;0.0;4138.37;5461.75;1.0
0.0;0.0;0.0;0.0;0.0;0.0;8000.0;8000.0;
0.32;0.14;0.06;0.59;0.0;0.0;13812.55;6340.97;1.0
0.69;0.18;0.37;1.03;0.0;0.0;10457.0;6713.24;1.0
0.69;0.19;0.36;1.07;0.0;0.0;9843.15;6218.31;1.0
0.12;0.19;-0.24;0.48;0.0;0.0;10825.86;6682.52;1.0
-0.34;0.2;-0.7;0.03;0.0;0.0;10893.42;6564.65;1.0
-0.95;0.2;-1.33;-0.57;0.0;0.0;10278.75;6808.3;1.0
-1.22;0.21;-1.62;-0.83;0.0;0.0;9591.65;6985.77;1.0
-1.43;0.22;-1.85;-1.04;0.0;0.0;9401.11;7053.89;1.0
-1.61;0.22;-2.02;-1.2;0.0;0.0;9730.0;6755.39;1.0
-1.69;0.22;-2.1;-1.27;0.0;0.0;10164.28;6847.76;1.0
-1.76;0.23;-2.17;-1.33;0.0;0.0;10012.67;7247.22;1.0
-1.78;0.23;-2.22;-1.35;0.0;0.0;10119.31;6691.81;1.0
-1.87;0.23;-2.29;-1.45;0.0;0.0;9242.62;6679.34;1.0
-1.85;0.23;-2.28;-1.42;0.0;0.0;8488.67;6285.58;1.0
-1.86;0.23;-2.3;-1.42;0.0;0.0;9070.12;6853.85;1.0
-1.81;0.25;-2.29;-1.36;0.0;0.0;9349.67;7488.8;1.0
-1.79;0.27;-2.28;-1.26;0.0;0.0;10133.83;7494.53;1.0
-1.79;0.34;-2.44;-1.16;0.0;0.0;12575.87;6576.16;1.0
-1.79;0.39;-2.51;-1.05;0.0;0.0;13613.41;6295.17;1.0
-1.79;0.43;-2.6;-0.98;0.0;0.0;15071.05;6065.23;1.0
-1.79;0.46;-2.67;-0.93;0.0;0.0;15362.78;5714.28;1.0
-1.8;0.5;-2.73;-0.85;0.0;0.0;15906.39;5168.67;1.0
-1.79;0.54;-2.86;-0.84;0.0;0.0;16342.05;5481.92;1.0
-1.79;0.57;-2.85;-0.71;0.0;0.0;17061.19;6096.4;1.0
-1.79;0.6;-2.93;-0.7;0.0;0.0;16797.61;6035.59;1.0
-1.8;0.63;-2.99;-0.63;0.0;0.0;17574.47;6409.31;1.0
-1.8;0.66;-3.13;-0.65;0.0;0.0;17866.96;6107.8;1.0
-1.8;0.68;-3.09;-0.53;0.01;0.0;17968.55;6308.93;1.0
-1.79;0.71;-3.13;-0.5;0.01;0.0;17673.26;6213.2;1.0
-1.79;0.73;-3.22;-0.48;0.01;0.0;17121.54;5834.11;1.0
-1.79;0.75;-3.18;-0.4;0.01;0.0;17285.72;6138.18;1.0
-1.79;0.77;-3.16;-0.26;0.01;0.0;17761.0;6069.5;1.0
-1.79;0.8;-3.3;-0.31;0.01;0.01;17677.67;6227.7;1.0
-1.79;0.82;-3.33;-0.24;0.01;0.01;17830.1;6422.05;1.0
-1.79;0.84;-3.42;-0.26;0.01;0.01;17530.5;5880.61;1.0
-1.79;0.87;-3.47;-0.21;0.01;0.01;17932.49;6005.24;1.0
-1.79;0.89;-3.5;-0.16;0.01;0.01;18719.86;6099.19;1.0
-1.79;0.91;-3.55;-0.11;0.01;0.01;18796.55;5765.79;1.0
-1.79;0.93;-3.53;-0.04;0.01;0.01;18620.88;6016.76;1.0
-1.79;0.96;-3.6;0.03;0.01;0.01;19000.28;5756.21;1.0
-1.79;0.98;-3.66;0.06;0.01;0.01;18879.63;5937.81;1.0
-1.79;1.0;-3.63;0.16;0.01;0.01;18682.48;5976.97;1.0
-1.79;1.02;-3.69;0.16;0.01;0.01;19697.2;6137.15;1.0
-1.79;1.04;-3.87;0.03;0.01;0.01;19037.72;5742.79;1.0
-1.79;1.06;-3.82;0.15;0.01;0.01;18931.33;5289.47;1.0
-1.79;1.07;-3.84;0.18;0.01;0.01;18011.86;5703.15;1.0
0.0;0.0;0.0;0.0;0.0;0.0;8000.0;8000.0;
-0.18;0.14;-0.44;0.09;0.0;0.0;14338.97;6648.16;1.0
-0.31;0.17;-0.62;0.01;0.0;0.0;14055.83;6950.3;1.0
-0.47;0.19;-0.82;-0.11;0.0;0.0;12386.07;6273.04;1.0
-0.59;0.19;-0.94;-0.22;0.0;0.0;11577.13;6810.62;1.0
-0.76;0.2;-1.13;-0.37;0.0;0.0;11955.99;7061.14;1.0
-0.94;0.21;-1.32;-0.55;0.0;0.0;10881.39;7370.53;1.0
-1.1;0.22;-1.51;-0.69;0.0;0.0;9762.51;6401.04;1.0
-1.17;0.22;-1.59;-0.76;0.0;0.0;9714.32;6303.29;1.0
-1.25;0.23;-1.66;-0.81;0.0;0.0;9467.0;7207.28;1.0
-1.39;0.25;-1.87;-0.94;0.0;0.0;8767.25;6597.24;1.0
-1.39;0.31;-1.98;-0.82;0.0;0.0;10418.68;6925.36;1.0
-1.39;0.36;-2.06;-0.69;0.0;0.0;12638.62;6695.25;1.0
-1.39;0.41;-2.12;-0.61;0.0;0.0;13750.14;6556.1;1.0
-1.39;0.45;-2.26;-0.56;0.0;0.0;14469.7;6702.45;1.0
-1.39;0.49;-2.29;-0.46;0.0;0.0;14810.76;6264.52;1.0
-1.39;0.53;-2.39;-0.43;0.0;0.0;15371.43;5838.4;1.0
-1.39;0.56;-2.41;-0.29;0.0;0.0;16394.92;6251.25;1.0
-1.38;0.6;-2.5;-0.25;0.0;0.0;17238.1;6174.16;1.0
-1.38;0.63;-2.54;-0.18;0.0;0.0;17886.34;5951.17;1.0
-1.38;0.65;-2.61;-0.13;0.0;0.0;17606.25;6519.71;1.0
-1.38;0.68;-2.7;-0.11;0.01;0.0;18045.79;6436.4;1.0
-1.38;0.71;-2.67;0.01;0.01;0.0;17953.59;5995.44;1.0
-1.38;0.73;-2.82;-0.05;0.01;0.0;17988.95;5472.4;1.0
-1.38;0.75;-2.83;0.02;0.01;0.01;17753.71;5582.62;1.0
-1.38;0.78;-2.91;0.02;0.01;0.01;17625.98;5472.65;1.0
-1.38;0.8;-2.89;0.11;0.01;0.01;18187.63;5437.05;1.0
-1.38;0.83;-2.99;0.12;0.01;0.01;17882.52;5357.36;1.0
-1.38;0.85;-3.0;0.17;0.01;0.01;17993.87;5560.53;1.0
-1.39;0.86;-3.04;0.18;0.01;0.01;18035.5;5542.82;1.0
-1.38;0.88;-3.04;0.25;0.01;0.01;18101.9;5509.14;1.0
-1.38;0.9;-3.01;0.38;0.01;0.01;18516.17;5557.27;1.0
-1.39;0.92;-3.17;0.32;0.01;0.01;18735.21;5835.89;1.0
-1.39;0.95;-3.13;0.39;0.01;0.01;18535.01;5467.98;1.0
-1.39;0.97;-3.11;0.52;0.01;0.01;18186.28;5482.85;1.0
-1.38;0.99;-3.2;0.49;0.01;0.01;18817.87;5574.17;1.0
-1.39;1.0;-3.24;0.53;0.01;0.01;19182.5;5453.02;1.0
-1.39;1.02;-3.25;0.55;0.01;0.01;19750.2;5757.14;1.0
-1.39;1.04;-3.3;0.61;0.01;0.01;19631.74;5479.63;1.0
-1.39;1.06;-3.39;0.59;0.01;0.01;19362.62;5543.31;1.0
-1.39;1.07;-3.5;0.55;0.01;0.01;19680.66;5293.81;1.0
-1.39;1.09;-3.49;0.57;0.01;0.01;19188.01;5536.22;1.0
-1.39;1.1;-3.48;0.64;0.01;0.01;19000.33;5659.73;1.0
-1.39;1.12;-3.61;0.63;0.01;0.01;18821.32;5362.84;1.0
-1.4;1.13;-3.55;0.75;0.01;0.01;18678.39;5530.77;1.0
-1.39;1.15;-3.62;0.72;0.01;0.01;19068.36;5791.62;1.0
-1.4;1.17;-3.67;0.75;0.01;0.01;18977.5;5654.83;1.0
0.0;0.0;0.0;0.0;0.0;0.0;8000.0;8000.0;
0.06;0.14;-0.21;0.32;0.0;0.0;13861.1;6234.35;1.0
0.02;0.17;-0.3;0.34;0.0;0.0;13002.61;6471.7;1.0
-0.26;0.17;-0.59;0.06;0.0;0.0;13780.45;7434.96;1.0
-0.41;0.19;-0.77;-0.05;0.0;0.0;12885.5;6636.01;1.0
-0.47;0.2;-0.85;-0.09;0.0;0.0;12073.03;6828.51;1.0
-0.53;0.21;-0.9;-0.14;0.0;0.0;10948.27;6762.07;1.0
-0.6;0.21;-0.99;-0.2;0.0;0.0;10705.86;7103.77;1.0
-0.63;0.21;-1.03;-0.23;0.0;0.0;10285.36;7080.83;1.0
-0.53;0.21;-0.95;-0.16;0.0;0.0;10303.19;7250.34;1.0
-0.45;0.21;-0.84;-0.06;0.0;0.0;9236.9;6848.18;1.0
-0.26;0.21;-0.66;0.12;0.0;0.0;9455.95;7121.54;1.0
0.12;0.2;-0.28;0.47;0.0;0.0;10053.6;7024.55;1.0
0.27;0.2;-0.11;0.65;0.0;0.0;9430.54;7169.37;1.0
0.41;0.2;0.04;0.81;0.0;0.0;10056.15;7747.07;1.0
0.48;0.22;0.06;0.9;0.0;0.0;10142.95;6975.72;1.0
0.48;0.29;-0.08;1.01;0.0;0.0;13007.6;6641.89;1.0
0.48;0.34;-0.12;1.16;0.0;0.0;14830.59;6603.68;1.0
0.48;0.39;-0.26;1.21;0.0;0.0;16484.53;6437.13;1.0
0.48;0.44;-0.34;1.28;0.0;0.0;16916.4;5960.51;1.0
0.48;0.48;-0.41;1.38;0.0;0.0;18107.05;5764.19;1.0
0.48;0.52;-0.53;1.39;0.0;0.0;18686.48;6135.6;1.0
0.48;0.55;-0.5;1.55;0.0;0.0;18518.49;5636.59;1.0
0.48;0.58;-0.61;1.55;0.0;0.01;18602.08;5751.96;1.0
0.48;0.61;-0.7;1.6;0.0;0.01;19773.57;5805.52;1.0
0.48;0.63;-0.72;1.69;0.0;0.01;19394.13;5825.78;1.0
0.48;0.66;-0.76;1.74;0.0;0.01;19165.89;6273.57;1.0
0.48;0.69;-0.81;1.77;0.0;0.01;19577.1;5613.95;1.0
0.48;0.72;-0.79;1.91;0.01;0.01;19644.17;6540.03;1.0
0.48;0.74;-0.9;1.91;0.01;0.01;19079.19;6236.08;1.0
0.48;0.76;-0.93;1.96;0.01;0.01;18699.29;6276.1;1.0
0.48;0.78;-1.06;1.88;0.01;0.01;19032.22;6015.08;1.0
0.48;0.8;-1.02;1.99;0.01;0.01;18849.22;5814.65;1.0
0.48;0.83;-1.07;2.0;0.01;0.01;19056.19;5725.9;1.0
0.48;0.85;-1.17;2.01;0.01;0.01;19425.12;5959.31;1.0
0.48;0.87;-1.22;2.03;0.01;0.01;19556.17;5651.58;1.0
0.48;0.89;-1.16;2.16;0.01;0.01;19585.21;5382.53;1.0
0.48;0.91;-1.26;2.11;0.01;0.01;19538.28;5415.96;1.0
0.48;0.93;-1.28;2.17;0.01;0.01;19991.6;5650.88;1.0
0.48;0.95;-1.31;2.25;0.01;0.01;20499.3;5355.3;1.0
0.48;0.96;-1.39;2.23;0.01;0.01;20570.79;5878.88;1.0
0.48;0.99;-1.33;2.35;0.01;0.01;20894.9;5914.73;1.0
0.48;1.0;-1.5;2.25;0.01;0.01;21400.39;5564.35;1.0
0.48;1.02;-1.55;2.25;0.01;0.01;21321.05;5706.47;1.0
0.47;1.04;-1.41;2.49;0.01;0.01;21580.5;5813.3;1.0
0.48;1.06;-1.65;2.37;0.01;0.01;21848.04;5457.55;1.0
0.48;1.08;-1.55;2.51;0.01;0.01;21943.21;5797.25;1.0
0.0;0.0;0.0;0.0;0.0;0.0;8000.0;8000.0;
0.29;0.14;0.03;0.54;0.0;0.0;12249.07;6389.08;1.0
0.04;0.15;-0.24;0.32;0.0;0.0;12015.63;6354.5;1.0
0.02;0.18;-0.3;0.36;0.0;0.0;11816.87;6278.75;1.0
0.02;0.18;-0.31;0.34;0.0;0.0;10803.75;6916.28;1.0
0.07;0.18;-0.27;0.4;0.0;0.0;9923.55;6558.19;1.0
0.14;0.18;-0.2;0.47;0.0;0.0;9057.75;6996.57;1.0
0.14;0.19;-0.21;0.5;0.0;0.0;8939.46;6621.65;1.0
0.09;0.19;-0.25;0.44;0.0;0.0;8360.36;6741.51;1.0
0.07;0.19;-0.3;0.43;0.0;0.0;9326.78;6602.83;1.0
0.02;0.2;-0.36;0.39;0.0;0.0;8794.0;6482.94;1.0
-0.07;0.2;-0.47;0.29;0.0;0.0;9128.73;6605.32;1.0
-0.27;0.2;-0.65;0.1;0.0;0.0;8702.03;6797.6;1.0
-0.27;0.2;-0.64;0.12;0.0;0.0;9041.66;6948.13;1.0
-0.16;0.2;-0.53;0.22;0.0;0.0;8834.62;6786.62;1.0
-0.0;0.2;-0.37;0.37;0.0;0.0;9252.92;6751.47;1.0
0.13;0.19;-0.21;0.49;0.0;0.0;8399.09;6782.54;1.0
0.19;0.18;-0.16;0.52;0.0;0.0;8688.42;6707.94;1.0
0.01;0.19;-0.35;0.36;0.0;0.0;8596.98;6619.94;1.0
-0.05;0.2;-0.41;0.34;0.0;0.0;9274.73;6535.13;1.0
-0.08;0.2;-0.44;0.3;0.0;0.0;9068.91;7035.45;1.0
-0.04;0.19;-0.41;0.31;0.0;0.0;8757.38;6959.23;1.0
-0.03;0.2;-0.41;0.34;0.0;0.0;8934.44;6901.63;1.0
-0.07;0.19;-0.42;0.29;0.0;0.0;8763.86;7237.29;1.0
-0.09;0.19;-0.44;0.26;0.0;0.0;8727.14;6190.14;1.0
-0.12;0.19;-0.46;0.25;0.0;0.0;9011.01;6399.97;1.0
-0.21;0.19;-0.55;0.14;0.0;0.0;8491.19;6927.22;1.0
-0.25;0.19;-0.61;0.1;0.0;0.0;8383.49;6630.05;1.0
-0.22;0.19;-0.57;0.13;0.0;0.0;8511.93;6325.81;1.0
-0.08;0.18;-0.4;0.29;0.0;0.0;8732.19;6560.15;1.0
0.0;0.19;-0.36;0.35;0.0;0.0;8617.72;6599.11;1.0
0.04;0.19;-0.31;0.39;0.0;0.0;8637.49;6862.66;1.0
-0.12;0.2;-0.52;0.24;0.0;0.0;8249.51;6917.81;1.0
-0.12;0.27;-0.62;0.4;0.0;0.0;11437.87;7001.2;1.0
-0.12;0.33;-0.72;0.52;0.0;0.0;13383.13;6349.06;1.0
-0.12;0.38;-0.82;0.62;0.0;0.0;14983.15;6392.3;1.0
-0.12;0.43;-0.95;0.66;0.0;0.0;16332.25;5973.52;1.0
-0.11;0.47;-1.0;0.76;0.0;0.01;16038.89;6264.81;1.0
-0.12;0.5;-1.08;0.81;0.0;0.01;16742.06;6697.55;1.0
-0.12;0.53;-1.1;0.9;0.0;0.01;17330.22;6180.78;1.0
-0.12;0.56;-1.21;0.9;0.0;0.01;18798.22;6292.78;1.0
-0.12;0.59;-1.18;1.05;0.0;0.01;17918.74;5838.64;1.0
-0.11;0.62;-1.25;1.06;0.0;0.01;18362.65;5517.71;1.0
-0.11;0.65;-1.28;1.12;0.0;0.01;18410.32;5907.65;1.0
-0.11;0.67;-1.38;1.12;0.0;0.01;18157.83;6306.78;1.0
-0.12;0.7;-1.46;1.16;0.01;0.01;18358.91;5862.06;1.0
-0.11;0.73;-1.52;1.23;0.01;0.01;17750.9;5821.96;1.0
0.0;0.0;0.0;0.0;0.0;0.0;8000.0;8000.0;
-0.3;0.14;-0.56;-0.03;0.0;0.0;13851.9;6697.09;1.0
-0.46;0.16;-0.75;-0.16;0.0;0.0;12141.93;6960.04;1.0
-0.55;0.18;-0.89;-0.2;0.0;0.0;11839.74;6582.97;1.0
-0.61;0.19;-0.97;-0.26;0.0;0.0;10837.09;6749.14;1.0
-0.69;0.2;-1.07;-0.31;0.0;0.0;10435.48;6419.67;1.0
-0.75;0.2;-1.12;-0.37;0.0;0.0;9718.08;6829.03;1.0
-0.81;0.21;-1.23;-0.45;0.0;0.0;8988.78;6305.61;1.0
-0.88;0.2;-1.24;-0.51;0.0;0.0;7400.55;6418.43;1.0
-0.91;0.21;-1.29;-0.51;0.0;0.0;7578.41;6888.09;1.0
-0.79;0.2;-1.17;-0.41;0.0;0.0;8273.15;6471.68;1.0
-0.72;0.2;-1.1;-0.34;0.0;0.0;8103.11;6726.91;1.0
-0.63;0.21;-1.02;-0.25;0.0;0.0;9725.42;6646.71;1.0
-0.57;0.2;-0.94;-0.2;0.0;0.0;8650.33;7072.17;1.0
-0.62;0.2;-0.98;-0.25;0.0;0.0;8530.03;6990.11;1.0
-0.64;0.21;-1.01;-0.24;0.0;0.0;8964.54;6714.19;1.0
-0.6;0.2;-0.97;-0.23;0.0;0.0;8050.15;6668.48;1.0
-0.57;0.2;-0.95;-0.22;0.0;0.0;8538.78;6585.9;1.0
-0.48;0.21;-0.87;-0.09;0.0;0.0;9137.82;6684.06;1.0
-0.49;0.21;-0.88;-0.1;0.0;0.0;9189.29;6371.18;1.0
-0.47;0.21;-0.85;-0.07;0.0;0.0;8625.37;6304.64;1.0
